player,nation,pos,squad,comp,age,born,mp,starts,min,x90s,gls,ast,g_pk,pk,p_katt,crd_y,crd_r,gls_per_90,ast_per_90,gls_ast_per_90,gls_minus_ast_per_90,gls_plus_ast_minus_pk_per_90,xg,npxg,xa,npxg_plus_xa,xg_per_90,xa_per_90,xg_plus_xa_per_90,npxg_per_90,npxg_plus_xa_per_90
Luca Ceppitelli,ITA,DF,Cagliari,Serie A,30,1989,19,16,1465,16.3,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0,0.4,0.02,0,0.03,0.02,0.03
Alberto Cerri,ITA,"FW,MF",Cagliari,Serie A,24,1996,23,3,369,4.1,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,2.5,2.5,0.8,3.4,0.61,0.2,0.82,0.61,0.82
Sava Cestic,SRB,DF,Köln,Bundesliga,19,2001,11,11,899,10,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Julian Chabot,GER,DF,Spezia,Serie A,22,1998,25,19,1655,18.4,1,1,1,0,0,11,1,0.05,0.05,0.11,0.05,0.11,0.6,0.6,0.2,0.8,0.03,0.01,0.05,0.03,0.05
Nassim Chadli,FRA,"FW,MF",Nîmes,Ligue 1,19,2001,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fouad Chafik,MAR,DF,Dijon,Ligue 1,33,1986,23,18,1622,18,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,0.2,0.2,0.7,0.8,0.01,0.04,0.05,0.01,0.05
Mehdi Chahiri,MAR,"FW,MF",Strasbourg,Ligue 1,24,1996,23,8,801,8.9,2,0,2,0,0,0,0,0.22,0,0.22,0.22,0.22,1.9,1.9,1.3,3.2,0.22,0.14,0.36,0.22,0.36
Sofian Chakla,MAR,DF,Villarreal,La Liga,26,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.39,0,0.39,0.39,0.39
Sofian Chakla,MAR,DF,Getafe,La Liga,26,1993,11,9,897,10,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Aníbal Chalá,ECU,DF,Dijon,Ligue 1,24,1996,13,9,744,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.02,0.02,0,0.02
Trevoh Chalobah,ENG,"DF,MF",Lorient,Ligue 1,21,1999,29,24,2237,24.9,2,2,2,0,0,5,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.9,2.8,0.08,0.04,0.11,0.08,0.11
Calum Chambers,ENG,DF,Arsenal,English Premier League,25,1995,10,8,753,8.4,0,2,0,0,0,0,0,0,0.24,0.24,0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,30,1990,15,3,432,4.8,1,0,1,0,0,2,0,0.21,0,0.21,0.21,0.21,0.9,0.9,0.3,1.2,0.18,0.07,0.25,0.18,0.25
Kwon Chang-hoon,KOR,"MF,FW",Freiburg,Bundesliga,26,1994,12,1,216,2.4,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05
Gaëtan Charbonnier,FRA,"MF,FW",Brest,Ligue 1,31,1988,36,17,1570,17.4,6,1,5,1,1,4,0,0.34,0.06,0.4,0.29,0.34,5.7,5,3.1,8,0.33,0.18,0.51,0.29,0.46
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,25,1994,33,30,2716,30.2,3,1,3,0,0,3,1,0.1,0.03,0.13,0.1,0.13,2.4,2.4,1,3.4,0.08,0.03,0.11,0.08,0.11
Xavier Chavalerin,FRA,MF,Reims,Ligue 1,29,1991,30,29,2547,28.3,0,3,0,0,0,8,0,0,0.11,0.11,0,0.11,1.2,1.2,2.4,3.6,0.04,0.09,0.13,0.04,0.13
Pape Cheikh Diop,SEN,MF,Dijon,Ligue 1,22,1997,21,13,1089,12.1,0,0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.7,1.1,0.03,0.06,0.09,0.03,0.09
Chema,ESP,"DF,MF",Getafe,La Liga,28,1992,10,7,557,6.2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.1,0.2,0.01,0.02,0.03,0.01,0.03
Rayan Cherki,FRA,"FW,MF",Lyon,Ligue 1,16,2003,27,5,698,7.8,1,3,1,0,0,1,1,0.13,0.39,0.52,0.13,0.52,1,1,2.1,3.1,0.13,0.28,0.4,0.13,0.4
Denis Cheryshev,RUS,MF,Valencia,La Liga,29,1990,21,13,1101,12.2,0,3,0,0,0,3,0,0,0.25,0.25,0,0.25,1.5,1.5,2.4,3.9,0.12,0.2,0.32,0.12,0.32
Giorgio Chiellini,ITA,DF,Juventus,Serie A,35,1984,17,16,1386,15.4,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.6,0.6,0,0.6,0.04,0,0.04,0.04,0.04
Federico Chiesa,ITA,DF,Fiorentina,Serie A,22,1997,3,3,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.7,0.7,0.8,1.6,0.28,0.31,0.59,0.28,0.59
Federico Chiesa,ITA,"MF,DF",Juventus,Serie A,22,1997,30,28,2210,24.6,8,8,8,0,0,3,1,0.33,0.33,0.65,0.33,0.65,6,6,6.5,12.5,0.24,0.26,0.51,0.24,0.51
Ben Chilwell,ENG,DF,Chelsea,English Premier League,23,1996,27,27,2286,25.4,3,5,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21
Vlad Chiricheș,ROU,DF,Sassuolo,Serie A,30,1989,24,22,1837,20.4,2,1,2,0,0,6,0,0.1,0.05,0.15,0.1,0.15,1.1,1.1,0.7,1.8,0.05,0.03,0.09,0.05,0.09
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,23,1997,32,26,2280,25.3,0,2,0,0,0,4,0,0,0.08,0.08,0,0.08,0.3,0.3,1.1,1.5,0.01,0.05,0.06,0.01,0.06
Tahith Chong,NED,"FW,MF",Werder Bremen,Bundesliga,20,1999,13,4,386,4.3,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0.3,0.3,0.5,0.8,0.06,0.12,0.18,0.06,0.18
Joris Chotard,FRA,MF,Montpellier,Ligue 1,18,2001,29,11,1165,12.9,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,0.4,1.1,0.06,0.03,0.09,0.06,0.09
Hamza Choudhury,ENG,MF,Leicester City,English Premier League,22,1997,10,4,316,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11
Mounir Chouiar,FRA,"FW,MF",Dijon,Ligue 1,21,1999,23,14,1288,14.3,0,2,0,0,1,5,0,0,0.14,0.14,0,0.14,2,1.2,2,3.2,0.14,0.14,0.28,0.09,0.23
Andreas Christensen,DEN,DF,Chelsea,English Premier League,24,1996,17,15,1371,15.2,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03
Carney Chukwuemeka,ENG,"FW,MF",Aston Villa,English Premier League,16,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.29,0,0.29,0.29,0.29
Samuel Chukwueze,NGA,"MF,FW",Villarreal,La Liga,21,1999,28,13,1365,15.2,4,2,4,0,0,0,0,0.26,0.13,0.4,0.26,0.4,3.5,3.5,2.6,6.1,0.23,0.17,0.41,0.23,0.41
Darko Churlinov,MKD,"DF,FW",Stuttgart,Bundesliga,20,2000,14,0,216,2.4,0,1,0,0,0,0,0,0,0.42,0.42,0,0.42,0.1,0.1,0.4,0.5,0.05,0.16,0.2,0.05,0.2
Víctor Chust,ESP,DF,Real Madrid,La Liga,20,2000,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sébastien Cibois,FRA,GK,Brest,Ligue 1,22,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cifu,ESP,DF,Elche,La Liga,29,1990,11,4,451,5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41,1979,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Luca Cigarini,ITA,MF,Crotone,Serie A,34,1986,14,13,929,10.3,0,0,0,0,0,5,1,0,0,0,0,0,0.6,0.6,1.2,1.8,0.06,0.12,0.18,0.06,0.18
Jasper Cillessen,NED,GK,Valencia,La Liga,31,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Cioffi,ITA,FW,Napoli,Serie A,17,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.54,0.54,0,0.54
Tim Civeja,GER,"MF,DF",Augsburg,Bundesliga,18,2002,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciaran Clark,IRL,DF,Newcastle Utd,English Premier League,30,1989,22,21,1891,21,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0,0.02,0.02,0.02
Alexis Claude-Maurice,FRA,"MF,FW",Nice,Ligue 1,22,1998,30,21,1910,21.2,4,5,4,0,0,2,0,0.19,0.24,0.42,0.19,0.42,4,4,3.1,7,0.19,0.14,0.33,0.19,0.33
Jonathan Clauss,FRA,DF,Lens,Ligue 1,27,1992,33,30,2521,28,3,6,3,0,0,2,0,0.11,0.21,0.32,0.11,0.32,1.8,1.8,6,7.8,0.06,0.22,0.28,0.06,0.28
Carlos Clerc,ESP,DF,Levante,La Liga,28,1992,35,30,2781,30.9,0,3,0,0,0,5,0,0,0.1,0.1,0,0.1,0.4,0.4,3.3,3.7,0.01,0.11,0.12,0.01,0.12
Nathaniel Clyne,ENG,DF,Crystal Palace,English Premier League,29,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04
Conor Coady,ENG,DF,Wolves,English Premier League,27,1993,37,37,3303,36.7,1,0,1,0,0,5,0,0.03,0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0,0.04,0.03,0.04
Marcus Coco,FRA,"MF,FW",Nantes,Ligue 1,24,1996,32,16,1474,16.4,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,0.9,0.9,1.4,2.3,0.06,0.09,0.14,0.06,0.14
Coke,ESP,DF,Levante,La Liga,33,1987,17,11,835,9.3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07
Séamus Coleman,IRL,"DF,MF",Everton,English Premier League,31,1988,25,18,1613,17.9,0,3,0,0,0,0,0,0,0.17,0.17,0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17
Ebrima Colley,GAM,"FW,MF",Hellas Verona,Serie A,20,2000,23,4,734,8.2,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,1.9,1.9,0.7,2.5,0.23,0.08,0.31,0.23,0.31
Omar Colley,GAM,DF,Sampdoria,Serie A,27,1992,29,28,2591,28.8,2,0,2,0,0,6,0,0.07,0,0.07,0.07,0.07,1.5,1.5,0,1.5,0.05,0,0.05,0.05,0.05
Simone Colombi,ITA,GK,Parma,Serie A,29,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Colombo,ITA,FW,Milan,Serie A,18,2002,4,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0.58,0,0.58,0.58,0.58
Racine Coly,SEN,DF,Nice,Ligue 1,24,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,24,1996,29,23,1752,19.5,5,10,5,0,0,1,0,0.26,0.51,0.77,0.26,0.77,4.1,4.1,6.6,10.8,0.21,0.34,0.55,0.21,0.55
Daniel Congré,FRA,DF,Montpellier,Ligue 1,35,1985,38,38,3292,36.6,2,0,2,0,0,4,0,0.05,0,0.05,0.05,0.05,1.3,1.3,0.1,1.4,0.03,0,0.04,0.03,0.04
Aaron Connolly,IRL,FW,Brighton,English Premier League,20,2000,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42
Andrea Consigli,ITA,GK,Sassuolo,Serie A,33,1987,37,37,3330,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Conti,ITA,DF,Milan,Serie A,26,1994,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.47,0.47,0,0.47
Andrea Conti,ITA,DF,Parma,Serie A,26,1994,11,9,809,9,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.03,0.04,0.08,0.03,0.08
Liam Cooper,SCO,DF,Leeds United,English Premier League,28,1991,25,25,2185,24.3,1,0,1,0,0,4,1,0.04,0,0.04,0.04,0.04,1.3,1.3,0,1.3,0.05,0,0.05,0.05,0.05
Francis Coquelin,FRA,MF,Villarreal,La Liga,29,1991,22,7,736,8.2,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.03,0.06,0.09,0.03,0.09
Theo Corbeanu,CAN,FW,Wolves,English Premier League,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.9,0.9,0,0.9
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29,1990,25,23,2066,23,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,0.7,0.7,1.5,2.1,0.03,0.06,0.09,0.03,0.09
Alex Cordaz,ITA,GK,Crotone,Serie A,37,1983,36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iñigo Córdoba,ESP,"FW,MF",Athletic Club,La Liga,23,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23,1997,7,3,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.11,0.12,0.01,0.12
Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27,1993,21,17,1537,17.1,7,1,7,0,0,3,0,0.41,0.06,0.47,0.41,0.47,7.4,7.4,1.8,9.3,0.44,0.11,0.54,0.44,0.54
Sergio Córdova,VEN,"FW,MF",Arminia,Bundesliga,22,1997,23,13,1090,12.1,2,1,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,3.1,3.1,1.2,4.4,0.26,0.1,0.36,0.26,0.36
Jack Cork,ENG,MF,Burnley,English Premier League,31,1989,16,15,1350,15,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06
Andreas Cornelius,DEN,FW,Parma,Serie A,27,1993,29,21,1898,21.1,1,4,1,0,0,4,0,0.05,0.19,0.24,0.05,0.24,2.3,2.3,2.9,5.2,0.11,0.14,0.25,0.11,0.25
Maxwel Cornet,CIV,"DF,FW",Lyon,Ligue 1,23,1996,36,29,2446,27.2,2,5,2,0,0,5,0,0.07,0.18,0.26,0.07,0.26,2.5,2.5,3.4,6,0.09,0.13,0.22,0.09,0.22
Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,25,1995,38,29,2393,26.6,9,8,9,0,0,3,0,0.34,0.3,0.64,0.34,0.64,7.6,7.4,5.7,13,0.29,0.21,0.5,0.28,0.49
Joaquín Correa,ARG,FW,Lazio,Serie A,25,1994,28,25,1933,21.5,8,3,7,1,1,3,1,0.37,0.14,0.51,0.33,0.47,8.3,7.8,2,9.8,0.39,0.09,0.48,0.36,0.46
Rober Correa,ESP,DF,Eibar,La Liga,27,1992,15,13,1136,12.6,0,2,0,0,0,3,0,0,0.16,0.16,0,0.16,0.2,0.2,0.8,1.1,0.02,0.07,0.08,0.02,0.08
Félix Correia,POR,MF,Juventus,Serie A,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thierry Correia,POR,DF,Valencia,La Liga,21,1999,29,25,2137,23.7,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,1,1,1.3,2.3,0.04,0.06,0.1,0.04,0.1
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36,1983,6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny da Costa,GER,DF,Mainz 05,Bundesliga,27,1993,16,15,1208,13.4,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,0.2,0.2,1.7,1.8,0.01,0.12,0.14,0.01,0.14
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27,1993,6,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14
David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,19,2001,8,1,158,1.8,1,1,1,0,0,0,0,0.57,0.57,1.14,0.57,1.14,0.7,0.7,0.1,0.9,0.43,0.07,0.49,0.43,0.49
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,1988,7,2,208,2.3,2,0,1,1,1,1,0,0.87,0,0.87,0.43,0.43,1.4,0.6,0.3,1,0.6,0.14,0.74,0.27,0.41
Douglas Costa,BRA,"FW,MF",Bayern Munich,Bundesliga,29,1990,11,3,320,3.6,1,1,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,0.1,0.1,0.7,0.8,0.04,0.19,0.23,0.04,0.23
Douglas Costa,BRA,"MF,FW",Juventus,Serie A,29,1990,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
Hélder Costa,ANG,"MF,FW",Leeds United,English Premier League,26,1994,22,13,1156,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2,2,0.9,2.9,0.16,0.07,0.23,0.16,0.23
Jaume Costa,ESP,"DF,MF",Villarreal,La Liga,32,1988,14,3,351,3.9,0,1,0,0,0,1,0,0,0.26,0.26,0,0.26,0.1,0.1,0.3,0.4,0.02,0.08,0.09,0.02,0.09
Charles Costes,FRA,MF,Dijon,Ligue 1,17,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,1987,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimír Coufal,CZE,DF,West Ham,English Premier League,27,1992,34,34,3054,33.9,0,7,0,0,0,3,0,0,0.21,0.21,0,0.21,1.2,1.2,4.6,5.8,0.04,0.14,0.17,0.04,0.17
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28,1991,17,11,981,10.9,3,1,2,1,1,2,0,0.28,0.09,0.37,0.18,0.28,3,2.2,0.5,2.7,0.28,0.04,0.32,0.21,0.25
Lassana Coulibaly,MLI,"MF,FW",Angers,Ligue 1,24,1996,29,18,1687,18.7,1,1,1,0,0,4,1,0.05,0.05,0.11,0.05,0.11,0.7,0.7,1.3,1.9,0.04,0.07,0.1,0.04,0.1
Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21,1999,3,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.06,0.12,0.06,0.12
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25,1994,22,22,1934,21.5,2,0,2,0,0,6,1,0.09,0,0.09,0.09,0.09,0.7,0.7,0,0.7,0.03,0,0.03,0.03,0.03
Tanguy Coulibaly,FRA,"DF,FW",Stuttgart,Bundesliga,19,2001,31,17,1506,16.7,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,3.2,3.2,1.8,5,0.19,0.11,0.3,0.19,0.3
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28,1992,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe Coutinho,BRA,"MF,FW",Barcelona,La Liga,28,1992,12,8,654,7.3,2,2,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,3.9,3.9,0.9,4.7,0.53,0.12,0.65,0.53,0.65
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21,1999,20,15,1369,15.2,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.02,0.03,0.05,0.02,0.05
Alessio Cragno,ITA,GK,Cagliari,Serie A,26,1994,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01
Gian Crespi,ITA,GK,Crotone,Serie A,19,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,ENG,DF,West Ham,English Premier League,30,1989,36,36,3170,35.2,0,8,0,0,0,3,0,0,0.23,0.23,0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19
Domenico Criscito,ITA,DF,Genoa,Serie A,33,1986,23,20,1726,19.2,1,0,0,1,1,6,0,0.05,0,0.05,0,0,0.9,0.1,0.4,0.5,0.05,0.02,0.07,0.01,0.03
Bryan Cristante,ITA,"DF,MF",Roma,Serie A,25,1995,34,22,2155,23.9,1,3,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17,2.2,2.2,0.9,3.1,0.09,0.04,0.13,0.09,0.13
Giovanni Crociata,ITA,"MF,DF",Crotone,Serie A,22,1997,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.52,0.52,0,0.52
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28,1992,26,23,1962,21.8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.5,0.5,0,0.02,0.02,0,0.02
Juan Cuadrado,COL,"DF,MF",Juventus,Serie A,32,1988,30,26,2175,24.2,2,10,1,1,1,9,1,0.08,0.41,0.5,0.04,0.46,2,1.2,7.2,8.4,0.08,0.3,0.38,0.05,0.35
Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24,1996,27,27,2242,24.9,1,0,1,0,0,6,1,0.04,0,0.04,0.04,0.04,0.5,0.5,0.6,1.1,0.02,0.03,0.04,0.02,0.04
Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cucho,COL,"FW,MF",Getafe,La Liga,21,1999,23,18,1466,16.3,2,3,2,0,0,5,0,0.12,0.18,0.31,0.12,0.31,2.5,2.5,1.1,3.7,0.16,0.07,0.23,0.16,0.23
Marc Cucurella,ESP,MF,Getafe,La Liga,22,1998,37,37,3244,36,3,2,3,0,0,8,0,0.08,0.06,0.14,0.08,0.14,1.7,1.7,3,4.8,0.05,0.08,0.13,0.05,0.13
Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20,1999,23,11,1024,11.4,2,1,2,0,0,3,0,0.18,0.09,0.26,0.18,0.26,0.9,0.9,0.7,1.6,0.08,0.06,0.14,0.08,0.14
Matheus Cunha,BRA,"FW,MF",Hertha BSC,Bundesliga,21,1999,27,25,2149,23.9,7,4,5,2,3,9,0,0.29,0.17,0.46,0.21,0.38,8.1,5.8,5,10.8,0.34,0.21,0.55,0.24,0.45
Giuseppe Cuomo,ITA,DF,Crotone,Serie A,22,1998,13,8,801,8.9,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02
Patrick Cutrone,ITA,"FW,MF",Fiorentina,Serie A,22,1998,11,0,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.09,0,0.09,0.09,0.09
Patrick Cutrone,ITA,FW,Wolves,English Premier League,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.61,0,0.61,0.61,0.61
Patrick Cutrone,ITA,FW,Valencia,La Liga,22,1998,7,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.46,0.14,0.6,0.46,0.6
Wylan Cyprien,FRA,MF,Parma,Serie A,25,1995,13,2,410,4.6,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.04,0.03,0.08,0.04,0.08
Rafael Czichos,GER,DF,Köln,Bundesliga,30,1990,28,26,2259,25.1,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,1.5,1.5,0.1,1.6,0.06,0,0.06,0.06,0.06
Lennart-Marten Czyborra,GER,DF,Genoa,Serie A,21,1999,17,15,1173,13,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04
Danilo D'Ambrosio,ITA,DF,Inter,Serie A,31,1988,19,7,699,7.8,3,0,3,0,0,2,0,0.39,0,0.39,0.39,0.39,1.3,1.3,0.1,1.4,0.17,0.01,0.18,0.17,0.18
Damien Da Silva,FRA,DF,Rennes,Ligue 1,32,1988,30,30,2661,29.6,4,0,4,0,0,7,1,0.14,0,0.14,0.14,0.14,1.8,1.8,0.6,2.4,0.06,0.02,0.08,0.06,0.08
Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,28,1992,22,11,999,11.1,4,0,4,0,1,2,0,0.36,0,0.36,0.36,0.36,5.1,4.3,1,5.3,0.46,0.09,0.55,0.39,0.48
Bryan Dabo,BFA,MF,Benevento,Serie A,28,1992,25,12,1117,12.4,0,0,0,0,0,5,0,0,0,0,0,0,1.2,1.2,0.3,1.5,0.09,0.03,0.12,0.09,0.12
Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21,1998,25,15,1357,15.1,1,2,1,0,0,3,0,0.07,0.13,0.2,0.07,0.2,0.3,0.3,1,1.3,0.02,0.07,0.09,0.02,0.09
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,1996,21,15,1258,14,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,1.2,1.7,0.04,0.08,0.12,0.04,0.12
Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Dallas,NIR,"DF,MF",Leeds United,English Premier League,29,1991,38,38,3409,37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18
