player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Sasa Kalajdzic,AUT,Stuttgart,Bundesliga,23,1997,23.7,16,67,28,41.8,2.82,1.18,0.24,0.57,12.5,0,0,0,9,9,0.13,7,7
Arnaud Kalimuendo,FRA,Paris S-G,Ligue 1,18,2002,0.8,0,2,1,50,2.47,1.23,0,0,16.6,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Arnaud Kalimuendo,FRA,Lens,Ligue 1,18,2002,13.5,7,32,17,53.1,2.36,1.26,0.22,0.41,13.2,0,0,0,6,6,0.19,1,1
Nikola Kalinić,CRO,Hellas Verona,Serie A,32,1988,11.8,2,23,7,30.4,1.95,0.59,0.09,0.29,11.6,0,0,0,4,4,0.18,-2,-2
Yayah Kallon,SLE,Genoa,Serie A,19,2001,0.5,0,2,1,50,4,2,0,0,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Samuel Kalu,NGA,Bordeaux,Ligue 1,22,1997,10.7,4,24,8,33.3,2.24,0.75,0.17,0.5,17.4,1,0,0,1.5,1.5,0.06,2.5,2.5
Pierre Kalulu,FRA,Milan,Serie A,20,2000,8.1,1,3,1,33.3,0.37,0.12,0.33,1,6.7,0,0,0,0.6,0.6,0.2,0.4,0.4
Daichi Kamada,JPN,Eint Frankfurt,Bundesliga,23,1996,26.2,5,38,9,23.7,1.45,0.34,0.13,0.56,16.6,2,0,0,5.6,5.6,0.15,-0.6,-0.6
Aboubakar Kamara,MTN,Dijon,Ligue 1,25,1995,6.2,1,11,3,27.3,1.78,0.48,0.09,0.33,18.2,0,0,0,0.8,0.8,0.07,0.2,0.2
Aboubakar Kamara,MTN,Fulham,English Premier League,25,1995,3.5,0,4,2,50,1.14,0.57,0,0,20.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Bingourou Kamara,SEN,Strasbourg,Ligue 1,23,1996,8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Boubacar Kamara,FRA,Marseille,Ligue 1,20,1999,32.2,0,20,8,40,0.62,0.25,0,0,22.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7
Hassane Kamara,CIV,Nice,Ligue 1,25,1994,32.9,2,27,4,14.8,0.82,0.12,0.07,0.5,21,0,0,0,1.1,1.1,0.04,0.9,0.9
Marcin Kamiński,POL,Stuttgart,Bundesliga,28,1992,2.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Kevin Kampl,SVN,RB Leipzig,Bundesliga,29,1990,21.5,0,14,1,7.1,0.65,0.05,0,0,22.5,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Harry Kane,ENG,Tottenham,English Premier League,27,1993,34.2,23,134,47,35.1,3.91,1.37,0.14,0.4,17.7,14,4,4,20.5,17.5,0.13,2.5,1.5
Wilfried Kanga,FRA,Angers,Ligue 1,22,1998,1.5,0,1,1,100,0.68,0.68,0,0,21.4,0,0,0,0.3,0.3,0.26,-0.3,-0.3
Lee Kangin,KOR,Valencia,La Liga,19,2001,14,0,25,7,28,1.78,0.5,0,0,22,5,0,0,1.2,1.2,0.05,-1.2,-1.2
N'Golo Kanté,FRA,Chelsea,English Premier League,29,1991,23.8,0,10,3,30,0.42,0.13,0,0,19.5,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Jimmy Kaparos,GER,Schalke 04,Bundesliga,18,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Yann Karamoh,FRA,Parma,Serie A,22,1998,14.4,2,22,9,40.9,1.53,0.63,0.09,0.22,14.1,0,0,0,3.3,3.3,0.15,-1.3,-1.3
Isaac Karamoko,FRA,Sassuolo,Serie A,18,2002,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Atakan Karazor,GER,Stuttgart,Bundesliga,23,1996,11.5,0,3,1,33.3,0.26,0.09,0,0,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Augustus Kargbo,SLE,Crotone,Serie A,20,1999,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Loris Karius,GER,Union Berlin,Bundesliga,27,1993,3.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Rick Karsdorp,NED,Roma,Serie A,25,1995,28.3,1,13,4,30.8,0.46,0.14,0.08,0.25,16.5,0,0,0,0.9,0.9,0.07,0.1,0.1
Silas Katompa,COD,Stuttgart,Bundesliga,21,1998,21.3,11,40,15,37.5,1.88,0.7,0.2,0.53,15.9,0,3,3,7.3,5.1,0.13,3.7,2.9
Noah Katterbach,GER,Köln,Bundesliga,19,2001,12.3,0,9,2,22.2,0.73,0.16,0,0,24.4,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Eiji Kawashima,JPN,Strasbourg,Ligue 1,37,1983,24,0,1,0,0,0.04,0,0,NA,74,1,0,0,0,0,0.03,0,0
Moise Kean,ITA,Everton,English Premier League,20,2000,0.2,0,1,0,0,6,0,0,NA,23.1,0,0,0,0,0,0.03,0,0
Moise Kean,ITA,Paris S-G,Ligue 1,20,2000,18.9,13,53,24,45.3,2.81,1.27,0.25,0.54,11.7,0,0,0,10.7,10.7,0.2,2.3,2.3
Michael Keane,ENG,Everton,English Premier League,27,1993,33.2,3,16,6,37.5,0.48,0.18,0.19,0.5,11.1,0,0,0,1.2,1.2,0.08,1.8,1.8
Neeskens Kebano,COD,Fulham,English Premier League,28,1992,1.3,0,6,0,0,4.54,0,0,NA,18.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Thilo Kehrer,GER,Paris S-G,Ligue 1,23,1996,18,0,7,0,0,0.39,0,0,NA,12.4,0,0,0,0.7,0.7,0.11,-0.7,-0.7
Habib Keita,MLI,Lyon,Ligue 1,18,2002,0.1,0,1,0,0,15,0,0,NA,9,0,0,0,0.4,0.4,0.38,-0.4,-0.4
Naby Keïta,GUI,Liverpool,English Premier League,25,1995,5.8,0,9,2,22.2,1.56,0.35,0,0,19.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Yannik Keitel,GER,Freiburg,Bundesliga,20,2000,5.5,0,9,2,22.2,1.63,0.36,0,0,23.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Caoimhín Kelleher,IRL,Liverpool,English Premier League,21,1998,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Stephane Keller,CMR,Alavés,La Liga,18,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Martin Kelly,ENG,Crystal Palace,English Premier League,30,1990,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Marc-Oliver Kempf,GER,Stuttgart,Bundesliga,25,1995,30.3,2,16,6,37.5,0.53,0.2,0.13,0.33,17.1,0,0,0,1.3,1.3,0.08,0.7,0.7
Kenedy,BRA,Granada,La Liga,24,1996,16.3,4,36,12,33.3,2.2,0.73,0.11,0.33,26.2,7,0,0,2.1,2.1,0.06,1.9,1.9
Jonjoe Kenny,ENG,Everton,English Premier League,23,1997,0.9,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Franck Kessié,CIV,Milan,Serie A,23,1996,35.8,13,36,8,22.2,1,0.22,0.06,0.25,18.2,0,11,13,13.6,3.7,0.1,-0.6,-1.7
Reda Khadra,GER,Brighton,English Premier League,19,2001,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Omar Khailoti,ITA,Bologna,Serie A,18,2001,0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Saîf-Eddine Khaoui,TUN,Marseille,Ligue 1,25,1995,6.7,2,11,6,54.5,1.63,0.89,0.18,0.33,18.1,0,0,0,0.8,0.8,0.07,1.2,1.2
Wahbi Khazri,TUN,Saint-Étienne,Ligue 1,29,1991,13.1,7,29,10,34.5,2.21,0.76,0.14,0.4,22.8,4,3,3,4.9,2.6,0.09,2.1,1.4
Rani Khedira,GER,Augsburg,Bundesliga,26,1994,20.2,1,10,4,40,0.5,0.2,0.1,0.25,18.4,0,0,0,1,1,0.1,0,0
Sami Khedira,GER,Hertha BSC,Bundesliga,33,1987,4.4,0,1,0,0,0.23,0,0,NA,24,0,0,0,0,0,0.03,0,0
Kike,ESP,Eibar,La Liga,30,1989,34.3,12,88,34,38.6,2.57,0.99,0.14,0.35,12.9,1,0,0,10.4,10.4,0.12,1.6,1.6
Luca Kilian,GER,Mainz 05,Bundesliga,20,1999,4.2,0,1,0,0,0.24,0,0,NA,12,0,0,0,0,0,0.05,0,0
Max Kilman,ENG,Wolves,English Premier League,23,1997,14.6,0,6,2,33.3,0.41,0.14,0,0,11.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Joshua Kimmich,GER,Bayern Munich,Bundesliga,25,1995,24.4,4,37,14,37.8,1.52,0.57,0.11,0.29,22.6,1,0,0,2.5,2.5,0.07,1.5,1.5
Presnel Kimpembe,FRA,Paris S-G,Ligue 1,24,1995,25.6,0,5,1,20,0.2,0.04,0,0,18.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Joshua King,NOR,Everton,English Premier League,28,1992,1.6,0,3,1,33.3,1.82,0.61,0,0,12.4,0,0,0,0.8,0.8,0.27,-0.8,-0.8
Simon Kjær,DEN,Milan,Serie A,31,1989,26.6,0,15,2,13.3,0.56,0.08,0,0,11.2,1,0,0,1.3,1.3,0.09,-1.3,-1.3
Davy Klaassen,NED,Werder Bremen,Bundesliga,27,1993,2.5,0,4,0,0,1.62,0,0,NA,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Felix Klaus,GER,Wolfsburg,Bundesliga,27,1992,1.5,0,1,0,0,0.66,0,0,NA,30,0,0,0,0,0,0.02,0,0
Klauss,BRA,Hoffenheim,Bundesliga,23,1997,0.6,0,1,1,100,1.76,1.76,0,0,8,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Ragnar Klavan,EST,Cagliari,Serie A,34,1985,8.6,0,6,1,16.7,0.7,0.12,0,0,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Philipp Klement,GER,Stuttgart,Bundesliga,27,1992,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,23.2,1,0,0,0.3,0.3,0.04,0.7,0.7
Mateusz Klich,POL,Leeds United,English Premier League,30,1990,26.6,4,34,10,29.4,1.28,0.38,0.06,0.2,22,0,2,2,3.3,1.8,0.05,0.7,0.2
Mateo Klimowicz,GER,Stuttgart,Bundesliga,20,2000,13.3,1,33,10,30.3,2.48,0.75,0.03,0.1,17.8,0,0,0,3.8,3.8,0.12,-2.8,-2.8
Fabian Klos,GER,Arminia,Bundesliga,32,1987,30.1,5,52,19,36.5,1.73,0.63,0.08,0.21,13.9,0,1,2,7.9,6.4,0.12,-2.9,-2.4
Lukas Klostermann,GER,RB Leipzig,Bundesliga,24,1996,16.1,1,12,2,16.7,0.75,0.12,0.08,0.5,10.7,0,0,0,0.8,0.8,0.07,0.2,0.2
Justin Kluivert,NED,RB Leipzig,Bundesliga,21,1999,9,3,18,7,38.9,1.99,0.77,0.17,0.43,16.2,0,0,0,3.6,3.6,0.2,-0.6,-0.6
Justin Kluivert,NED,Roma,Serie A,21,1999,0.2,0,1,0,0,4.74,0,0,NA,26.9,0,0,0,0,0,0.01,0,0
Lukas Klünter,GER,Hertha BSC,Bundesliga,24,1996,11,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ansgar Knauff,GER,Dortmund,Bundesliga,18,2002,0.8,1,2,1,50,2.54,1.27,0.5,1,15.1,0,0,0,0.1,0.1,0.05,0.9,0.9
Robin Knoche,GER,Union Berlin,Bundesliga,28,1992,33.8,1,11,4,36.4,0.33,0.12,0.09,0.25,11.5,0,0,0,0.9,0.9,0.09,0.1,0.1
Gregor Kobel,SUI,Stuttgart,Bundesliga,22,1997,33,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Robin Koch,GER,Leeds United,English Premier League,24,1996,12.6,0,9,2,22.2,0.72,0.16,0,0,10.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Giorgi Kochorashvili,GEO,Levante,La Liga,21,1999,0.3,0,1,0,0,3.91,0,0,NA,32,0,0,0,0,0,0.01,0,0
Kenan Kodro,BIH,Valladolid,La Liga,26,1993,5.1,0,7,1,14.3,1.37,0.2,0,0,9.1,0,0,0,1.1,1.1,0.16,-1.1,-1.1
Kenan Kodro,BIH,Athletic Club,La Liga,26,1993,0.5,1,1,1,100,2.05,2.05,0,0,37.6,0,1,1,0.8,0,0.02,0.2,0
Dominik Kohr,GER,Mainz 05,Bundesliga,26,1994,14.1,1,16,3,18.8,1.14,0.21,0.06,0.33,20.8,0,0,0,0.9,0.9,0.06,0.1,0.1
Dominik Kohr,GER,Eint Frankfurt,Bundesliga,26,1994,2.9,0,5,0,0,1.73,0,0,NA,18.7,1,0,0,0.5,0.5,0.11,-0.5,-0.5
Koba Koindredi,FRA,Valencia,La Liga,18,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Koke,ESP,Atlético Madrid,La Liga,28,1992,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20,0,0,0,1.9,1.9,0.11,-0.9,-0.9
Aleksandr Kokorin,RUS,Fiorentina,Serie A,29,1991,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Aleksandar Kolarov,SRB,Inter,Serie A,34,1985,4.3,0,6,2,33.3,1.38,0.46,0,0,29.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Sead Kolašinac,BIH,Arsenal,English Premier League,27,1993,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Sead Kolašinac,BIH,Schalke 04,Bundesliga,27,1993,15.8,1,6,1,16.7,0.38,0.06,0.17,1,15.6,0,0,0,0.4,0.4,0.06,0.6,0.6
Randal Kolo Muani,FRA,Nantes,Ligue 1,21,1998,33.7,9,61,25,41,1.81,0.74,0.15,0.36,12.5,0,0,0,10.5,10.5,0.17,-1.5,-1.5
Timothée Kolodziejczak,FRA,Saint-Étienne,Ligue 1,28,1991,22.6,0,11,2,18.2,0.49,0.09,0,0,10.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Ghislain Konan,CIV,Reims,Ligue 1,24,1995,29,2,8,4,50,0.28,0.14,0.25,0.5,22.6,0,0,0,0.3,0.3,0.04,1.7,1.7
Ibrahima Konaté,FRA,RB Leipzig,Bundesliga,21,1999,7.7,1,5,2,40,0.65,0.26,0.2,0.5,7.8,0,0,0,0.5,0.5,0.1,0.5,0.5
Moussa Konaté,SEN,Dijon,Ligue 1,27,1993,13.3,5,33,8,24.2,2.48,0.6,0.12,0.5,13.1,0,1,2,5.3,3.8,0.11,-0.3,0.2
Geoffrey Kondogbia,CTA,Atlético Madrid,La Liga,27,1993,6.8,0,5,2,40,0.74,0.29,0,0,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Geoffrey Kondogbia,CTA,Valencia,La Liga,27,1993,4.9,0,4,2,50,0.82,0.41,0,0,33.2,1,0,0,0.1,0.1,0.02,-0.1,-0.1
Lamine Koné,CIV,Strasbourg,Ligue 1,31,1989,11.6,1,9,1,11.1,0.78,0.09,0.11,1,11.5,0,0,0,0.7,0.7,0.08,0.3,0.3
Moussa Koné,SEN,Nîmes,Ligue 1,23,1996,19.5,9,31,16,51.6,1.59,0.82,0.29,0.56,14.9,0,0,0,6.7,6.7,0.21,2.3,2.3
Youssouf Koné,MLI,Elche,La Liga,25,1995,0.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Terence Kongolo,NED,Fulham,English Premier League,26,1994,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ezri Konsa,ENG,Aston Villa,English Premier League,22,1997,35.5,2,22,7,31.8,0.62,0.2,0.09,0.29,8.6,0,0,0,2.1,2.1,0.1,-0.1,-0.1
Laurent Koscielny,FRA,Bordeaux,Ligue 1,34,1985,24.6,0,6,1,16.7,0.24,0.04,0,0,6.4,0,0,0,1,1,0.18,-1,-1
Filip Kostić,SRB,Eint Frankfurt,Bundesliga,27,1992,28.2,4,51,21,41.2,1.81,0.75,0.08,0.19,20.4,4,0,0,3.9,3.9,0.08,0.1,0.1
Márk Kosznovszky,HUN,Parma,Serie A,18,2002,1,0,1,1,100,1,1,0,0,11,0,0,0,0.3,0.3,0.34,-0.3,-0.3
Christian Kouamé,CIV,Fiorentina,Serie A,22,1997,11.1,1,19,6,31.6,1.72,0.54,0.05,0.17,9.8,0,0,0,3.5,3.5,0.18,-2.5,-2.5
Nianzou Kouassi,FRA,Bayern Munich,Bundesliga,18,2002,1.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Kalidou Koulibaly,SEN,Napoli,Serie A,29,1991,24.5,0,10,1,10,0.41,0.04,0,0,11.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Jules Koundé,FRA,Sevilla,La Liga,21,1998,33.1,2,21,6,28.6,0.64,0.18,0.1,0.33,10.8,0,0,0,2.1,2.1,0.1,-0.1,-0.1
Boubakar Kouyaté,MLI,Metz,Ligue 1,23,1997,21.8,1,12,4,33.3,0.55,0.18,0.08,0.25,8.6,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Cheikhou Kouyaté,SEN,Crystal Palace,English Premier League,30,1989,34.7,1,7,2,28.6,0.2,0.06,0.14,0.5,9.6,0,0,0,0.8,0.8,0.11,0.2,0.2
Mateo Kovačić,CRO,Chelsea,English Premier League,26,1994,20.2,0,23,4,17.4,1.14,0.2,0,0,22.9,0,0,0,1,1,0.04,-1,-1
Viktor Kovalenko,UKR,Atalanta,Serie A,24,1996,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Emil Krafth,SWE,Newcastle Utd,English Premier League,25,1994,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,22.7,0,0,0,0.2,0.2,0.02,0.8,0.8
Andrej Kramarić,CRO,Hoffenheim,Bundesliga,29,1991,26.4,20,92,40,43.5,3.48,1.51,0.16,0.38,17.3,7,5,5,16.4,12.6,0.14,3.6,2.4
Christoph Kramer,GER,M'Gladbach,Bundesliga,29,1991,22.6,0,9,1,11.1,0.4,0.04,0,0,23.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Jean-Philippe Krasso,FRA,Saint-Étienne,Ligue 1,23,1997,2.5,0,4,3,75,1.61,1.21,0,0,12.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Toni Kroos,GER,Real Madrid,La Liga,30,1990,23.5,3,34,12,35.3,1.45,0.51,0.09,0.25,21.8,1,0,0,2.2,2.2,0.07,0.8,0.8
Filip Krovinović,CRO,West Brom,English Premier League,24,1995,6.1,0,8,2,25,1.32,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Rade Krunić,BIH,Milan,Serie A,26,1993,8,1,8,5,62.5,1,0.62,0.13,0.2,21.3,1,0,0,0.7,0.7,0.09,0.3,0.3
Max Kruse,GER,Union Berlin,Bundesliga,32,1988,18.1,11,23,12,52.2,1.27,0.66,0.26,0.5,19.8,1,5,6,6.6,2,0.09,4.4,4
Lukas Kübler,GER,Freiburg,Bundesliga,27,1992,9.8,0,2,1,50,0.2,0.1,0,0,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Takefusa Kubo,JPN,Villarreal,La Liga,19,2001,3.3,0,8,5,62.5,2.41,1.51,0,0,14.5,0,0,0,1.4,1.4,0.17,-1.4,-1.4
Takefusa Kubo,JPN,Getafe,La Liga,19,2001,8.9,1,15,7,46.7,1.68,0.78,0.07,0.14,18.3,4,0,0,0.9,0.9,0.06,0.1,0.1
Juraj Kucka,SVK,Parma,Serie A,33,1987,25.9,7,56,15,26.8,2.16,0.58,0.05,0.2,20.4,2,4,4,6.8,3.8,0.07,0.2,-0.8
Kuki,ESP,Valladolid,La Liga,22,1998,0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Dejan Kulusevski,SWE,Juventus,Serie A,20,2000,21.4,4,34,7,20.6,1.59,0.33,0.12,0.57,15,0,0,0,2.9,2.9,0.09,1.1,1.1
Marash Kumbulla,ALB,Roma,Serie A,20,2000,15.1,1,6,2,33.3,0.4,0.13,0.17,0.5,6.9,0,0,0,0.9,0.9,0.15,0.1,0.1
Pierre Kunde,CMR,Mainz 05,Bundesliga,25,1995,5.7,0,7,0,0,1.23,0,0,NA,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Fabian Kunze,GER,Arminia,Bundesliga,22,1998,14.1,0,7,1,14.3,0.5,0.07,0,0,18.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Jasmin Kurtić,SVN,Parma,Serie A,31,1989,30.4,4,35,9,25.7,1.15,0.3,0.11,0.44,17.7,0,0,0,3.7,3.7,0.11,0.3,0.3
Layvin Kurzawa,FRA,Paris S-G,Ligue 1,27,1992,14.2,1,11,2,18.2,0.77,0.14,0.09,0.5,16.6,1,0,0,0.7,0.7,0.06,0.3,0.3
Dereck Kutesa,SUI,Reims,Ligue 1,22,1997,7.6,1,10,4,40,1.31,0.52,0.1,0.25,16.7,0,0,0,0.9,0.9,0.09,0.1,0.1
Ahmed Kutucu,TUR,Schalke 04,Bundesliga,20,2000,1.2,0,2,0,0,1.67,0,0,NA,14,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Enock Kwateng,FRA,Bordeaux,Ligue 1,23,1997,11.5,1,4,2,50,0.35,0.17,0.25,0.5,9.4,0,0,0,0.4,0.4,0.09,0.6,0.6
Giorgos Kyriakopoulos,GRE,Sassuolo,Serie A,24,1996,16.2,1,24,14,58.3,1.48,0.87,0.04,0.07,21.9,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Antonino La Gumina,ITA,Sampdoria,Serie A,24,1996,3.8,0,11,1,9.1,2.9,0.26,0,0,15,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Gaëtan Laborde,FRA,Montpellier,Ligue 1,26,1994,36.2,16,101,42,41.6,2.79,1.16,0.16,0.38,12.1,0,0,0,11.7,11.7,0.12,4.3,4.3
Alexandre Lacazette,FRA,Arsenal,English Premier League,29,1991,21.4,13,43,25,58.1,2.01,1.17,0.23,0.4,14.2,3,3,3,9.7,7.4,0.17,3.3,2.6
Tom Lacoux,FRA,Bordeaux,Ligue 1,18,2002,5.8,0,3,0,0,0.52,0,0,NA,25,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Maxence Lacroix,FRA,Wolfsburg,Bundesliga,20,2000,28.8,1,17,2,11.8,0.59,0.07,0.06,0.5,8.7,0,0,0,1.6,1.6,0.09,-0.6,-0.6
Alban Lafont,FRA,Nantes,Ligue 1,21,1999,38,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Víctor Laguardia,ESP,Alavés,La Liga,30,1989,29.2,0,8,3,37.5,0.27,0.1,0,0,7.5,0,0,0,1.1,1.1,0.14,-1.1,-1.1
Konrad Laimer,AUT,RB Leipzig,Bundesliga,23,1997,0.9,0,3,2,66.7,3.21,2.14,0,0,13.5,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Stefan Lainer,AUT,M'Gladbach,Bundesliga,27,1992,30.8,2,24,7,29.2,0.78,0.23,0.08,0.29,15.3,0,0,0,2.3,2.3,0.1,-0.3,-0.3
Diego Lainez,MEX,Betis,La Liga,20,2000,9.6,0,14,4,28.6,1.46,0.42,0,0,18,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Kenny Lala,FRA,Strasbourg,Ligue 1,28,1991,20.4,3,8,2,25,0.39,0.1,0,0,30.8,3,3,3,2.5,0.3,0.03,0.5,-0.3
Adam Lallana,ENG,Brighton,English Premier League,32,1988,17.7,1,22,4,18.2,1.24,0.23,0.05,0.25,16.3,0,0,0,2.4,2.4,0.11,-1.4,-1.4
Érik Lamela,ARG,Tottenham,English Premier League,28,1992,8,1,22,9,40.9,2.76,1.13,0.05,0.11,19.1,4,0,0,1.4,1.4,0.07,-0.4,-0.4
Sam Lammers,NED,Atalanta,Serie A,23,1997,3.2,2,9,4,44.4,2.78,1.24,0.22,0.5,12.9,0,0,0,1.3,1.3,0.14,0.7,0.7
Tariq Lamptey,ENG,Brighton,English Premier League,19,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,12.1,0,0,0,0.6,0.6,0.09,0.4,0.4
Loïck Landre,FRA,Nîmes,Ligue 1,28,1992,18.1,1,9,2,22.2,0.5,0.11,0.11,0.5,8.5,0,0,0,1.4,1.4,0.16,-0.4,-0.4
Michael Langer,AUT,Schalke 04,Bundesliga,35,1985,2.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Manuel Lanzini,ARG,West Ham,English Premier League,27,1993,6.3,1,12,3,25,1.91,0.48,0.08,0.33,17.2,1,0,0,1.2,1.2,0.1,-0.2,-0.2
Gianluca Lapadula,PER,Benevento,Serie A,30,1990,28.5,8,75,28,37.3,2.63,0.98,0.11,0.29,15.5,5,0,1,10.2,9.3,0.12,-2.2,-1.3
Aymeric Laporte,ESP,Manchester City,English Premier League,26,1994,14.9,0,6,1,16.7,0.4,0.07,0,0,11.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8
Julien Laporte,FRA,Lorient,Ligue 1,26,1993,29.5,0,8,1,12.5,0.27,0.03,0,0,12.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Danilo Larangeira,BRA,Bologna,Serie A,36,1984,34.8,0,14,2,14.3,0.4,0.06,0,0,13.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Gautier Larsonneur,FRA,Brest,Ligue 1,23,1997,35,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Kevin Lasagna,ITA,Udinese,Serie A,27,1992,12.3,2,43,14,32.6,3.51,1.14,0.05,0.14,14.6,1,0,0,7.3,7.3,0.17,-5.3,-5.3
Kevin Lasagna,ITA,Hellas Verona,Serie A,27,1992,14.1,2,30,7,23.3,2.13,0.5,0.07,0.29,14.1,0,0,0,3.4,3.4,0.11,-1.4,-1.4
Jamaal Lascelles,ENG,Newcastle Utd,English Premier League,26,1993,18.1,2,15,3,20,0.83,0.17,0.13,0.67,9.5,0,0,0,1,1,0.07,1,1
Paul Lasne,FRA,Brest,Ligue 1,31,1989,18.7,0,5,1,20,0.27,0.05,0,0,15.7,0,0,0,0.5,0.5,0.1,-0.5,-0.5
Toni Lato,ESP,Valencia,La Liga,22,1997,8.1,1,2,2,100,0.25,0.25,0.5,0.5,11.6,0,0,0,1,1,0.48,0,0
Danny Latza,GER,Mainz 05,Bundesliga,30,1989,20,0,21,9,42.9,1.05,0.45,0,0,18.1,0,0,0,1.9,1.9,0.09,-1.9,-1.9
Armand Lauriente,FRA,Lorient,Ligue 1,21,1998,18,3,59,21,35.6,3.27,1.17,0.05,0.14,22.9,14,0,0,3.2,3.2,0.05,-0.2,-0.2
Vincent Laurini,FRA,Parma,Serie A,31,1989,9.7,0,1,0,0,0.1,0,0,NA,32.3,0,0,0,0,0,0.01,0,0
Lauti,URU,Celta Vigo,La Liga,19,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Wesley Lautoa,NCL,Dijon,Ligue 1,32,1987,17.9,0,8,3,37.5,0.45,0.17,0,0,25.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7
