player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Fabián Balbuena,PAR,West Ham,English Premier League,28,1991,13.3,1,8,2,25,0.6,0.15,0.13,0.5,9.6,0,0,0,0.6,0.6,0.08,0.4,0.4
Keita Baldé,SEN,Sampdoria,Serie A,25,1995,13.3,7,44,19,43.2,3.31,1.43,0.16,0.37,13.5,0,0,0,5.8,5.8,0.13,1.2,1.2
George Baldock,ENG,Sheffield Utd,English Premier League,27,1993,31,0,13,2,15.4,0.42,0.06,0,0,16.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1
Gareth Bale,WAL,Tottenham,English Premier League,31,1989,10.2,11,38,19,50,3.72,1.86,0.29,0.58,18.2,7,0,0,5.3,5.3,0.15,5.7,5.7
Mikel Balenziaga,ESP,Athletic Club,La Liga,32,1988,18.8,0,3,1,33.3,0.16,0.05,0,0,30.5,1,0,0,0,0,0.02,0,0
Leonardo Balerdi,ARG,Marseille,Ligue 1,21,1999,18.2,2,13,4,30.8,0.72,0.22,0.15,0.5,8.2,0,0,0,1.8,1.8,0.14,0.2,0.2
Fodé Ballo-Touré,SEN,Monaco,Ligue 1,23,1997,7.4,0,2,1,50,0.27,0.14,0,0,13,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Botond Balogh,HUN,Parma,Serie A,18,2002,1.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Abdoulaye Bamba,CIV,Angers,Ligue 1,30,1990,15,0,1,1,100,0.07,0.07,0,0,15.6,0,0,0,0,0,0.05,0,0
Jonathan Bamba,FRA,Lille,Ligue 1,24,1996,33.2,6,60,20,33.3,1.81,0.6,0.1,0.3,21.6,1,0,0,4.4,4.4,0.07,1.6,1.6
Robson Bambu,BRA,Nice,Ligue 1,22,1997,11.6,0,2,1,50,0.17,0.09,0,0,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Patrick Bamford,ENG,Leeds United,English Premier League,26,1993,33.9,17,105,45,42.9,3.1,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7
Mattia Bani,ITA,Genoa,Serie A,26,1993,10.2,0,5,1,20,0.49,0.1,0,0,8.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6
Mattia Bani,ITA,Parma,Serie A,26,1993,12.7,0,8,2,25,0.63,0.16,0,0,8.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Simon Banza,FRA,Lens,Ligue 1,23,1996,15.2,5,36,12,33.3,2.36,0.79,0.11,0.33,13.4,0,1,1,5.9,5.1,0.14,-0.9,-1.1
Antonín Barák,CZE,Hellas Verona,Serie A,25,1994,30.7,7,43,15,34.9,1.4,0.49,0.16,0.47,15.3,1,0,0,5.8,5.8,0.13,1.2,1.2
Federico Barba,ITA,Benevento,Serie A,26,1993,29.5,0,13,3,23.1,0.44,0.1,0,0,13.6,0,0,0,1,1,0.08,-1,-1
Danilo Barbosa,BRA,Nice,Ligue 1,24,1996,2.8,0,2,0,0,0.72,0,0,NA,20,1,0,0,0.2,0.2,0.12,-0.2,-0.2
Barcia,ESP,Granada,La Liga,19,2000,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Melvin Bard,FRA,Lyon,Ligue 1,19,2000,4.8,0,2,1,50,0.42,0.21,0,0,16.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Enis Bardhi,MKD,Levante,La Liga,25,1995,18.7,1,36,13,36.1,1.93,0.7,0.03,0.08,20.2,5,0,0,2.9,2.9,0.08,-1.9,-1.9
Phil Bardsley,SCO,Burnley,English Premier League,35,1985,3,0,4,0,0,1.31,0,0,NA,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Nicolò Barella,ITA,Inter,Serie A,23,1997,32.2,3,36,9,25,1.12,0.28,0.08,0.33,20.4,0,0,0,2.6,2.6,0.07,0.4,0.4
Philipp Bargfrede,GER,Werder Bremen,Bundesliga,31,1989,0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Kike Barja,ESP,Osasuna,La Liga,23,1997,15.9,2,22,12,54.5,1.38,0.75,0.09,0.17,16.8,0,0,0,1.8,1.8,0.08,0.2,0.2
Ross Barkley,ENG,Aston Villa,English Premier League,26,1993,17,3,38,11,28.9,2.23,0.65,0.08,0.27,18.4,2,0,0,3.2,3.2,0.08,-0.2,-0.2
Ross Barkley,ENG,Chelsea,English Premier League,26,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0
Aymen Barkok,MAR,Eint Frankfurt,Bundesliga,22,1998,10.9,2,19,6,31.6,1.75,0.55,0.11,0.33,20.4,1,0,0,1.6,1.6,0.08,0.4,0.4
Ashley Barnes,ENG,Burnley,English Premier League,30,1989,14.8,3,39,12,30.8,2.64,0.81,0.05,0.17,15.7,0,1,1,5.1,4.4,0.11,-2.1,-2.4
Harvey Barnes,ENG,Leicester City,English Premier League,22,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,2.8,2.8
Marc Baró,ESP,Cádiz,La Liga,20,1999,1,0,1,1,100,1,1,0,0,23.6,0,0,0,0,0,0.02,0,0
Antonio Barragán,ESP,Elche,La Liga,33,1987,24.8,0,5,0,0,0.2,0,0,NA,12.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Antonio Barreca,ITA,Fiorentina,Serie A,25,1995,0.9,0,2,1,50,2.12,1.06,0,0,14.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Leandro Barreiro Martins,LUX,Mainz 05,Bundesliga,20,2000,25.6,2,32,10,31.3,1.25,0.39,0.06,0.2,16,0,0,0,3.3,3.3,0.1,-1.3,-1.3
Ander Barrenetxea,ESP,Real Sociedad,La Liga,18,2001,14.5,3,23,7,30.4,1.58,0.48,0.13,0.43,19,0,0,0,1.8,1.8,0.08,1.2,1.2
Jacob Barrett Laursen,DEN,Arminia,Bundesliga,25,1994,12.3,0,2,0,0,0.16,0,0,NA,19.3,0,0,0,0,0,0.02,0,0
Musa Barrow,GAM,Bologna,Serie A,21,1998,32.5,8,90,38,42.2,2.77,1.17,0.09,0.21,20,6,0,1,8.9,8,0.09,-0.9,0
Kyle Bartley,ENG,West Brom,English Premier League,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.6,8.2,0,0,0,2.1,2.1,0.15,0.9,0.9
Paolo Bartolomei,ITA,Spezia,Serie A,30,1989,3.6,0,4,0,0,1.13,0,0,NA,24.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Marc Bartra,ESP,Betis,La Liga,29,1991,18.8,0,11,4,36.4,0.58,0.21,0,0,18,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Daniele Baselli,ITA,Torino,Serie A,28,1992,4.4,0,4,2,50,0.91,0.45,0,0,23.6,2,0,0,0.3,0.3,0.07,-0.3,-0.3
Chris Basham,ENG,Sheffield Utd,English Premier League,32,1988,28.6,0,10,1,10,0.35,0.03,0,0,13.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Toma Bašić,CRO,Bordeaux,Ligue 1,23,1996,28.9,4,45,17,37.8,1.56,0.59,0.09,0.24,20.9,7,0,0,3.3,3.3,0.07,0.7,0.7
Álvaro Bastida,ESP,Cádiz,La Liga,16,2004,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Alessandro Bastoni,ITA,Inter,Serie A,21,1999,32.5,0,11,2,18.2,0.34,0.06,0,0,10,0,0,0,1.2,1.2,0.11,-1.2,-1.2
Simone Bastoni,ITA,Spezia,Serie A,23,1996,16.9,1,21,4,19,1.24,0.24,0.05,0.25,19.8,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Bastos,ANG,Lazio,Serie A,29,1991,0.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Michy Batshuayi,BEL,Crystal Palace,English Premier League,26,1993,8.1,2,12,6,50,1.48,0.74,0.17,0.33,16.9,0,0,0,1.4,1.4,0.11,0.6,0.6
Rodrigo Battaglia,ARG,Alavés,La Liga,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.2,15,0,0,0,1.2,1.2,0.07,-0.2,-0.2
Cristian Battocchio,ITA,Brest,Ligue 1,28,1992,3.9,0,5,1,20,1.27,0.25,0,0,22.6,1,0,0,0.5,0.5,0.11,-0.5,-0.5
Oliver Baumann,GER,Hoffenheim,Bundesliga,30,1990,31,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Julian Baumgartlinger,AUT,Leverkusen,Bundesliga,32,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.5,14.6,0,0,0,1.4,1.4,0.19,0.6,0.6
Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,20,1999,26.3,6,62,21,33.9,2.36,0.8,0.1,0.29,15.3,1,0,0,5.5,5.5,0.09,0.5,0.5
Jon Bautista,ESP,Real Sociedad,La Liga,25,1995,4.1,0,12,3,25,2.92,0.73,0,0,12.9,0,0,0,1,1,0.08,-1,-1
Paul Baysse,FRA,Bordeaux,Ligue 1,32,1988,29,2,11,2,18.2,0.38,0.07,0.18,1,9,0,0,0,1.2,1.2,0.11,0.8,0.8
Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,23,1996,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ihlas Bebou,TOG,Hoffenheim,Bundesliga,26,1994,24.4,9,46,19,41.3,1.88,0.78,0.2,0.47,12.3,0,0,0,9.1,9.1,0.2,-0.1,-0.1
Rodrigo Becão,BRA,Udinese,Serie A,24,1996,30.9,1,11,2,18.2,0.36,0.06,0.09,0.5,8.9,0,0,0,0.9,0.9,0.09,0.1,0.1
Sheraldo Becker,SUR,Union Berlin,Bundesliga,25,1995,12.3,3,31,10,32.3,2.52,0.81,0.1,0.3,22,0,0,0,2,2,0.07,1,1
Timo Becker,GER,Schalke 04,Bundesliga,23,1997,18.2,0,5,1,20,0.27,0.05,0,0,20,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jan Bednarek,POL,Southampton,English Premier League,24,1996,34.4,1,10,5,50,0.29,0.15,0.1,0.2,8.9,0,0,0,1,1,0.1,0,0
Donny van de Beek,NED,Manchester Utd,English Premier League,23,1997,5.8,1,2,1,50,0.34,0.17,0.5,1,18.6,0,0,0,0.3,0.3,0.14,0.7,0.7
Valon Behrami,SUI,Genoa,Serie A,35,1985,9.9,0,4,1,25,0.4,0.1,0,0,14.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Brian Behrendt,GER,Arminia,Bundesliga,28,1991,0.9,0,2,0,0,2.28,0,0,NA,28.2,0,0,0,0,0,0.02,0,0
Maximilian Beier,GER,Hoffenheim,Bundesliga,17,2002,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ishak Belfodil,ALG,Hoffenheim,Bundesliga,28,1992,6.6,0,12,4,33.3,1.81,0.6,0,0,11.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
